,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
2824,Achat d’un iPad reconditionné obsolète…,20 février 2021,True,Showroomprive.com,1
2825,"Les pires des escrocs ,des voleurs…",31 mars 2021,True,Showroomprive.com,1
2826,SITE A FUIRE,30 mars 2021,True,Showroomprive.com,1
2827,Tres déçue !,30 mars 2021,True,Showroomprive.com,1
2828,Catastrophique.,30 mars 2021,True,Showroomprive.com,1
2829,Vraiment très très déçu du service…,29 mars 2021,True,Showroomprive.com,1
2830,"Voila, après explications, mon problème a été résolu grâce à la gentillesse et à la compétence de Ayoub",29 mars 2021,True,Showroomprive.com,1
2831,suite à ma commande de deux housses…,29 mars 2021,True,Showroomprive.com,1
2832,Limite de la fausse promotion,28 mars 2021,True,Showroomprive.com,1
2833,Cela fait plusieurs fois que j ai des…,26 mars 2021,True,Showroomprive.com,2
2834,Arnaque et le mot est faible,26 mars 2021,True,Showroomprive.com,1
2835,Service client mauvais,26 mars 2021,True,Showroomprive.com,2
2836,Bonjour que j'arrive pas à mettre 0…,26 mars 2021,True,Showroomprive.com,1
2837,Fuyez c’est des voleurs ils ont…,26 mars 2021,True,Showroomprive.com,1
2838,J'ai reçu ma commande de leecooper…,25 mars 2021,True,Showroomprive.com,1
2839,Je peux pas mettre 0,09 janvier 2021,True,Showroomprive.com,1
2840,Showroom privée : Infinity Arnaque,25 mars 2021,True,Showroomprive.com,1
2841,"Je suis très déçue par ce site ,j'ai…",17 décembre 2020,True,Showroomprive.com,1
2842,ne mérite meme pas une etoile beaucoup…,25 mars 2021,True,Showroomprive.com,1
2843,Zéro,24 mars 2021,True,Showroomprive.com,1
2844,Le service client est d' une insolence…,23 mars 2021,True,Showroomprive.com,1
2845,Retard énorme de livraison,23 mars 2021,False,,1
2846,Je trouves que les conditions de…,17 mars 2021,True,Showroomprive.com,2
2847,Jai commandé des pull nasa et à mon…,22 mars 2021,True,Showroomprive.com,1
2848,Bonjour c'est dommage on ne peut pas…,22 mars 2021,True,Showroomprive.com,1
2849,Je mets une étoile mais ça en mérite 0,21 mars 2021,True,Showroomprive.com,1
2850,j’ai commandé du linge de lit,16 mars 2021,True,Showroomprive.com,2
2851,Évitez de commander sur ce site,20 mars 2021,True,Showroomprive.com,1
2852,EXPÉRIENCE HORRIBLE,20 mars 2021,True,Showroomprive.com,1
2853,1 pour le prix de deux!,20 mars 2021,True,Showroomprive.com,1
2854,Dropshipping,20 février 2021,True,Showroomprive.com,1
2855,Showroom privé devient privé... de bon sens !,19 mars 2021,True,Showroomprive.com,1
2856,voila maintenant 15 jours que j'ai reçu…,19 mars 2021,True,Showroomprive.com,1
2857,Commande et SAV décevant,19 mars 2021,True,Showroomprive.com,1
2858,Arnaque : la composition est fausse et pas de remboursement complet,18 mars 2021,True,Showroomprive.com,1
2859,Mon dieu !!!!!!!!,18 mars 2021,True,Showroomprive.com,1
2860,Attention showroom gonfle les prix....,18 mars 2021,True,Showroomprive.com,1
2861,N'achetez jamais de meubles sur ce site,17 mars 2021,True,Showroomprive.com,1
2862,0 étoile un véritable scandale,17 mars 2021,True,Showroomprive.com,1
2863,Showroom privé Au voleur !!!,03 février 2021,True,Showroomprive.com,1
2864,Il faut arrêter de commander chez…,16 mars 2021,True,Showroomprive.com,1
2865,Photos non conforme au produit,23 février 2021,True,Showroomprive.com,1
2866,les livraisons se dégradent,16 mars 2021,True,Showroomprive.com,2
2867,Site à éviter,17 mars 2020,True,Showroomprive.com,1
2868,Depuis 1 ans j'ai eu plusieurs…,16 mars 2021,True,Showroomprive.com,1
2869,Extrêmement déçue,15 mars 2021,True,Showroomprive.com,1
2870,C'est une honte,15 mars 2021,True,Showroomprive.com,1
2871,service après-vente déplorable,14 mars 2021,True,Showroomprive.com,1
2872,J'ai commandé un service vaisselle,13 mars 2021,True,Showroomprive.com,2
2873,fuyez ce site,13 mars 2021,True,Showroomprive.com,1
2874,Commande annulée sans raison,12 mars 2021,True,Showroomprive.com,2
2875,Fidèle cliente très déçue,12 mars 2021,True,Showroomprive.com,2
2876,J'ai commandé une table (COMMANDE N°…,12 mars 2021,True,Showroomprive.com,1
